1,,,admini,myname@myemail.com,,YES
277,,,Borisforpres,boriy-2011@mail.ru,kremlin-128,NO
306,,,cityoflondon,banks@rich.com,,NO
305,,,cookiemonster,paoisois@skjsjh.com,,NO
317,,,dkjdshjh,jhkj@skjds.com,,NO
286,,,doughnutking,sss@skjjs.com,,NO
299,,,fairusepolicy,hsjhs@sjjh2jsh.com,,NO
288,,,forestGump,clever@gump.com,,NO
316,,,goldrush,myemail2@example.com,,NO
274,,,happyFonzy,dsds@dsds22.com,,NO
273,,,HuskyStarCraft,husky@youtube.com,,NO
279,,,"james calana",jdjdjd@skjskjs.coms,,NO
303,,,"james t kirk",startrek@finalfrontier.com,,NO
309,,,jamesbob,sjkjs@skjskj.com,127044-1310375862,NO
323,,,jamescalahan,popos@skjskj.com,,NO
291,,,jamesfloyd,dsfdsf@sfdsf.vom,,NO
289,,,jamesowner,fdfdfd@fdfdh.vom,,NO
280,,,jamestestguy,james@testguy.com,,NO
308,,,jamesthegiant,skjkjhs@sjsjhs.com,127044-1310375862,YES
304,,,joebloggs,joe@placeholder.com,,NO
276,,,JohnSmith,dsds@dsd2s222.com,,NO
315,,,mrbond,myemail@example.com,127055-1322253070,NO
324,,,myname,is@ymeail.com,,NO
325,,,myname3,tony@british.gov,,NO
278,,,mynameisjames,james@jamesmane.com,,NO
300,,,mynameissms,sms@example.com,,NO
301,,,mynameissms2,sms@examp2le.com,,NO
175,,,nadlabsguy,myname@myemail.com,1234567,YES
320,,,newguy,popo@exame2.com,,NO
322,,,newguy222,assa@aa.com,,NO
321,,,newguyss,sss@sss.com,,NO
310,,,novisitguy,papos@dkkd.ods,127044-1310375862,NO
275,,,onlyfoolsandhorsesbydelboyanddo,dsds@dsd2s22.com,,NO
292,,,passguy,passw@sjhsjh.com,,NO
293,,,passguysd,passw@sjhdssjh.com,,NO
290,,,sdsds,dsdds@dsdsds.vom,,NO
307,,,shrek,shrek@pixar.com,,NO
266,,,stevejoby,fdfdfd@fdf2.com,,NO
318,,,testguy009,email@exampl11e.com,,NO
319,,,testguy123,example@example.com,,NO
281,,,testguy223,password@sjhjsh.com,,NO
282,,,testguy2233,password@sjh3jsh.com,,NO
298,,,tinytim,hsjhs@sjjhjsh.com,,NO
302,,,unlimitedguy,paskhd@exas.com,,NO
314,,,vetter,newuser@example.com,,NO
267,,,Whowhatwhere,fdfdfd@fdf23.com,,NO
265,,,windowsGuy,winguy@msn.com,,NO
